Y/N,question,answer,explination,category,subcategory,type
,Transmissivity (T),"The capacity of an aquifer to trasmit water of the prevailing kinematic viscosity. T = kb, where b = saturated thickness of the aquifer. Dimensions are gpd/ft of ft^2/day.","NOTE: Sorta like hydraulic conductivity (being a volume/time rate), except takes into consideration viscosity.",Hydrogeology,,
,Unconfined Aquifer,An aquifer having a water table.,"Below is an aquiclude, above is the water table.",Hydrogeology,,
,Underflow (U),"Groundwater that flows beneath the bed or alluvial plain of a surface stream, especially in arid regions. ","Technically not surface water, since it's flowing through a rock/soil layer... Just an extremely porous layer... Quantitatively (U = groundwater inflow - groundwater outflow)",Hydrogeology,,
,Vadose Zone / Zone of Aeration,A subsurface zone containing water under pressure that is less than atmospheric pressure. It is measured from the ground surface to the water table.,Upper most portion of an aquifer system. From the surface to the water table / zone of saturation.,Hydrogeology,,
,Water Table,The surface within unconfined groundwater at which the hydraulic pressure is equal to atmospheric pressure.,---,Hydrogeology,,
,Watershed,"The region drained by a stream or body of water, or a drainage divide. ",---,Hydrogeology,,
,"""Water with a TDS of 0-1000 ppm would be considered...""",Fresh Water,---,Hydrogeology,,
,"""Water with a TDS of 1000-10,000 would be considered...""",Saline Water,---,Hydrogeology,,
,"""Water with a TDS of 10,000-100,000 would be considered...""",Brackish Water,---,Hydrogeology,,
,"""What is the maximum TDS value considered suitable for livestock in mg/L?""",: 5000,---,Hydrogeology,,
,"""What is the hydrologic budget equation?""",Assesses the amount of both surface water and groundwater in a basin. dSt = P - E +- R +- U,"Where dSt = change in total storage, P = precipitation, E = evapotranspiration, R = runoff, U = underflow ",Hydrogeology,,
,"""What is the groundwater budget equation?""",Assesses the amount of only groundwater in a basin. dS = I - O,"Where dS = change in storage of an aquifer, I = input or recharge to aquifer, O = output or discharge from aquifer",Hydrogeology,,
,"""What units are dSt (change in total storage) and dS (change in aquifer storage) measured in?",acre-feet per year or gallons per year.,---,Hydrogeology,,
,"""How many acres is 1 mile^2 equal to?""",640 acres.,---,Conversion Factor,,
,"""How does pressure in the vadose zone compare to atmospheric pressure?""",It is less than atmospheric pressure.,---,Hydrogeology,,
,"""Which is more porous, sand or clay?""",Clay.,---,Hydrogeology,Engineering Geology,
,"""How does pressure at the water table compare to atmospheric pressure?""",It is equal to atmospheric pressure. ,---,Hydrogeology,,
,"""How does pressure right below the water table compare to atmospheric pressure?""",It is greater than atmospheric pressure. ,---,Hydrogeology,,
,"""When a soil is saturated, is the matric potential (phi) high or low?""",Low,---,Hydrogeology,,
,"""When a soil is unsaturated, is the matric potential (phi) high or low?""",High,---,Hydrogeology,,
,Artesian Well,When the water level of an aquifer is above land surface.,---,Hydrogeology,,
,"""What are two ways to express storativity (S)?""",Storativity = (+- Volume of Water) / (Area x Change in Head Height),Storativity = b(saturated thickness of the aquifer) x Ss(Specific Storage),Hydrogeology,,
,"""What equation defines hydraulic conductivity (K)?""",K = ki(intrinsic permeability) x gamma(specific weight) / mu(dynamic viscosity),---,Hydrogeology,,
,"""What equation defines transmissivity (T)?""",T(transmissivity) = K(hydraulic conductivity) x b(saturated aquifer thickness),---,Hydrogeology,,
,"""How do you solve a three point problem (for groundwater flow direction)?""",[STEP 1] Measure distance from low point to high point. [STEP 2] Apply the equation... (mid elevation - low elevation)/(high elevation - low elevation = (X/distance from low point to high point) ... and solve for X. [ STEP 3] Measure the X distance away from the low elevation point along the low-high point line. [STEP 4] Draw in a line connecting this new point to the mid elevation point. This is your strike. [STEP 5] Add 90 to obtain the dip direction (groundwater flow direction).,---,Hydrogeology,Structural / Field,
,"""How do you find the hydraulic gradient from a three point problem?""","[STEP 1] Do the calculations necessary for a three point problem. [STEP 2] Take the elevation of the determined strike... (This SHOULD be equivalent to the midpoint elevation.[STEP 3] Apply the hydraulic gradient equation, i = (high head - low head) / distance ... Treating the high head as the strike elevation, low head as the low elevation point, and distance as ... well the distance between the low elevation and strike elevation. ",---,Hydrogeology,,
,"""What is the generalized expression for Darcy's Law?""",Q = -KiA,,Hydrogeology,,
,"""What are the three discharge velocity expressions for Darcy's Law?""",Vd = -K(h1-h2/L)     &     Vd = Q/A      &       Vd = Ki,"NOTE: The two dimensions given by area A, are found as the length between the two heads, and the height of the aquifer thickness (height)",Hydrogeology,,
,"""What are the three Dupuit Assumptions used to apply Darcy's Law for unconfined aquifers?""",[1] The hydraulic gradient equals the slope of the water table. [2] The direction of groundwater flow (streamlines) is horizontal. [3] Contours of equal head (equipotentional lines) are vertical.,---,Hydrogeology,,
,What are some common minerals dissolved in groundwater?,"Sodium, calcium, magnesium, potassium, chloride, bicarbonate, sulfate",---,Hydrogeology,,
,"""What is the Duipuit equation for flow in an unconfined aquifer?""",Q = -1/2 x K x (higher water table height ^2 - lower water table height ^2 / L) x W,"Where L is the distance between the two wells, and W is the width of the aquifer (will often be given in the problem).",Hydrogeology,,
,"""How many feet are in a mile?""",5280 ft,---,Conversion Factor,,
,"""What is the seepage velocity, Vs, and what's its equation?""",The seepage velocity is the rate of groundwater transmission when taking into account which pores can actually transmit (effective porosity),Vs = K(hydraultic conductivity) x i(hydraulic gradient) / ne(effective porosity),Hydrogeology,,
,"""What is the shape of the equipotential surface for a confined aquifer?""",The shape is generally planar.,---,Hydrogeology,,
,"""What is the shape of the equipotential surface for an unconfined aquifer?""",The shape generally follows the shape of overlying topography.,---,Hydrogeology,,
,Sustainable Yield,Development and use of groundwater in a manner that can be maintained for an indefinite time without causing unacceptable environmental economic or social consequences.,---,Hydrogeology,,
,"""Interpretation of stereo-paired aerial photographs is NOT helpful when evaluating a site for... ?""",Contaminant plume migration in a confined aquifer.,---,Hydrogeology,,
,Tracers,Substances that can be used to determine the physical and chemical properties of groundwater.,---,Hydrogeology,,
,"""How many gallons are in an acre-foot?""","325,829 gallons are in one acre-foot.",---,Conversion Factor,,
,A-Line,"The line on the plasticity chart that divides clays from silts. Equation of the line is horizontal at PI = 4 to LL 25.5, then PI = 0.73 (LL - 20)",Line on the plasticity chart that divides clays from silts.,Engineering Geology,,
,Atterberg Limits,Water content at the boundaries between the states of consistency of a soil.,---,Engineering Geology,,
,Bearing Capacity,The load per unit area which the ground can safely support without excessive yield.,The max load an area can handle before deformation. ,Engineering Geology,,
,Bulk Density (p),The density of a material measured in mass per unit volume.,NOTE: Don't overcomplicate this. This is just density.  p = M / V,Engineering Geology,,
,Bulk Modulus (K) / Incompressibility,A modulus of elasticity which relates a change in volume to the hydrostatic state of stress. It is the reciprocal of compressibility.,Relates pressure to a change in volume. Bulk Modulus = Hydrostatic Pressure / Volumetric Strain,Engineering Geology,,
,Coefficient of Curvature (Cc),A measure of the curvature of the grain size distribution plot. Well-graded sands and gravels have coefficients of curvature between 1 and 3. ,Cc = D30^2 / (D10 x D60),Engineering Geology,,
,Coefficient of Uniformity (Cu),A measure of the grain size uniformity using the ratio of particles sizes D60 to D10,Cu = D60 / D10,Engineering Geology,,
,Compaction,"The process of increasing the density of a soil (usually fill) by rolling, tamping, vibrating or other mechanical means.",---,Engineering Geology,,
,Consistency ,The degree of adhesion between soil particles that can resist deformation or rupture.,---,Engineering Geology,,
,Consolidation,Gradual or slow reduction in volume and increase in density of a soil mass in response to increased load or compressive stress. ,---,Engineering Geology,,
,Critical Void Ratio,The final void ratio at ultimate strength achieved by loose and dense samples of the same soil after shearing. ,The void ratio present in a soil when it's pushed to its strength limits.,Engineering Geology,,
,Degree of Saturation (SR),The ratio of the volume of water to the total volume of void space. The value of SR can range from zero for a completely dry soil to one (or 100%) for a fully saturated soil. ,Also Given as Degree of Saturation = (Water Content x Specific Gravity) / e,Engineering Geology,,
,Dilatancy,"An increase in the bulk volume during deformation, caused by a change from a close-packed structure to an open-packed structure.",When deformation causes expansion. ,Engineering Geology,,
,Direct Shear Test,A laboratory test to measure the shear strength of a soil. ,---,Engineering Geology,,
,Dry Density (pd),The density of soil when it's completely dry. ,Dry Density = Bulk Density / (1 + Water Content),Engineering Geology,,
,Dry Strength ,The strength of a soil when dry as determined by the crushing test.,---,Engineering Geology,,
,Effective Size (D10),"The diameter D10 which corresponds to the percentage, by weight, of grains equal to 10% on the grain-size diagram. Ten percent of the particles are finer and 90% are coarser than the effective size.",THE IMPORTANT PART -> Ten percent of the particles are finer and 90% are coarser than the effective size.,Engineering Geology,,
,Effective Stress (sigma ' ),"That part of the total stress that is due entirely to the solid particles of soil, and represents an excess over the neutral stress or pore-water pressure. Effective stress - total stress minus pore-water pressure.",The amount of stress left after considering stress reduction from pore-water pressure.,Engineering Geology,,
,Gap-Graded,A soil in which some particle sizes are missing. ,Also called skip-graded.,Engineering Geology,,
,Gradation Curve,A graphic representation of the results of a sieve analysis plotted as percent passing vs. grain size.,---,Engineering Geology,,
,Hygroscopic Water,Water clinging to mineral grains through surface tension.,---,Engineering Geology,,
,Hooke's Law,A statement of elastic deformation - the strain is linearly proportional to the applied stress. ,---,Engineering Geology,,
,Liquid Limit (LL),"The upper limit of the plastic state. Water content, in percent of dry weight, at which two sections of a pat of soil, separated by a specified distance, barely touch each other but do not flow together when given a sharp blow. ",THE IMPORTANT PART -> The upper limit of the plastic state.,Engineering Geology,,
,Mohr Circle,Graphical representation of the state of stress (normal and shear) on a particular plane inclined at an angle to the major principal stress. ,---,Engineering Geology,,
,Mohr-Coulomb Equation,An equation describing the failure of a material in shear fracture. The rupture line in a Mohr circle can be approximated by this equation. ,Shear Strength = cohesion + (normal stress x tan(coefficient of friction)),Engineering Geology,,
,Normal Stress (sigma n ),The component of stress that acts perpendicular to the plane.,---,Engineering Geology,,
,Optimum Moisture Content,The moisture content at which the maximum dry density of a soil is attained. ,---,Engineering Geology,,
,Piping,Erosion by percolating waters or seepage in a layer of subsoil resulting in caving and the formation of tunnels or pipes through which the soluble or granular material is removed.,"As the name suggest. When groundwater transports eroded material in a ""pipe"" like manner.",Engineering Geology,,
,Plastic Limit (PL),The lower limit of the plastic state. Water content at which the soil begins to crumble when rolled out into thin threads.,THE IMPORTANT PART -> The lower limit of the plastic state. ,Engineering Geology,,
,Plasticity Index (PI),Range in water content between the liquid limit (LL) and the plastic limit (PL),PI = LL - PL,Engineering Geology,,
,Poisson's ratio (v),An elastic constant (does not exceed 0.5). The ratio of the lateral unit strain to the longitudinal unit strain in a body that has been stressed longitudinally within its elastic limit.,Poisson's Ratio = Change in Length / Change in Diameter,Engineering Geology,,
,Poorly Graded,"A soil with most grain sizes present in one size range. Equivalent to the geologist's ""well sorted""",---,Engineering Geology,,
,Quick Condition,The condition of soil in which a decrease in intergranular pressure allows water to flow upward with sufficient velocity to reduce significantly the soil's bearing capacity.,Basically quicksand.,Engineering Geology,,
,Relative Density (R.D),The ratio of the difference between the void ratio of a cohesionless soil in the loosest state and any given void ratio to the difference between its void ratios in the loosest and in the densest states.,R.D. = (emax - e) / (emax - emin),Engineering Geology,,
,Relative Compaction,The amount of compaction relative to the moisture-density curve or compaction curve.,Relative Compaction = Dry Density / Maximum Dry Density,Engineering Geology,,
,Seepage,The movement of water or other fluid through a porous material such as soil.,---,Engineering Geology,Hydrogeology,
,Settlement,The gradual downward movement of an engineered structure due to compression of the soil below the foundation. ,---,Engineering Geology,,
,Shear Modulus (G) / Rigidity Modulus,A modulus of elasticity in shear. It measures the shear strain resulting from shear stress on a plane.,Shear Modulus (G) = Shear Stress / Shear Strain,Engineering Geology,,
,Shear Strength (s),The internal resistance of a soil to shear stress consisting of a combination of friction and cohesion. ,---,Engineering Geology,,
,Shear Stress (t),The component of stress that acts along a plane through any point in the body.,---,Engineering Geology,,
,Shrinkage Limit ,Water content at which the soil volume is at its lower limit.,---,Engineering Geology,,
,Smectites,A group of clay minerals that expand when they absorb large quantites of water.,---,Engineering Geology,Mineralogy / Petrology,
,Specific Gravity,The ratio of the density of the soild particles to the density of water at 4 degrees C. ,Gs = Ms / (Vs x Pw) ... [Specific Gravity = Solid Mass / Solid Volume x Water Density),Engineering Geology,,
,Strain (epsilon),"Change in the shape or volume of a body as a result of stress, defined as the ratio of the change to the original shape. ",The deformation due to an applied stress.,Engineering Geology,,
,Stress (sigma),The force per unit area. The symbol sigma is used to denote the overall stress as well as the component of stress that acts normal to the plane (normal stress),Stress = F / A,Engineering Geology,,
,Toughness,The property of a soil that is able to absorb stress by plastic deformation.,---,Engineering Geology,,
,Triaxial Test,The most widely used shear strength test in which the drainage conditions can be controlled.,---,Engineering Geology,,
,U-Line,"The line on the plasticity chart that marks the approximate upper limit of the relationship between the plasticity index and the liquid limit for natural soils. It is a check against erroneous data. If a data point plots above or to the left of the line, verify the information. ",---,Engineering Geology,,
,Unconfined Compressive Strength Test,A special case of the triaxial test in which axial stress is applied to a specimen under atmospheric pressure to obtain the value of the shear strength.,Pressure is applied until the rock busts.,Engineering Geology,,
,Uniformity Coefficient (Cu),The ratio of the D60 size to D10 size. See also Coefficient of Uniformity.,---,Engineering Geology,,
,Unit Weight (lambda),The weight of soil plus water per unit volume.,Unit Weight = Weight of Soil and Water / Volume,Engineering Geology,,
,Void Ratio (e),The ratio of the volume of void space to the volume of solids.,e = void volume / solid volume,Engineering Geology,,
,Well-Graded,"A soil with all grain sizes present with no excess in any size range. Equivalent to the geologist's term ""poorly sorted.""",---,Engineering Geology,,
,Young's Modulus (E) / Modulus of Elasticity,An elastic constant given by the ratio of stress to its corresponding strain under given conditions of load for materials that deform elastically according to Hook's Law.,E = stress / strain,Engineering Geology,,
,Water Content (w),The amount of water relative to the amount of solid mass.,Water Content = Water Mass / Solid Mass,Engineering Geology,Hydrogeology,
,"""What are the equation relationships between void ratio (e) and porosity (n)?""",n = e / (1 + e),e = n / (1 + n),Engineering Geology,,
,"""What is the density of water at 4 degrees C?""",1000 Kg/m^3,1.0 g/cm^3,Engineering Geology,,
,"""What is the generalized ""dry"" equation form?""",Dry Value = Value / (1 + Water Content),---,Engineering Geology,,
,"""What is the void ratio equation in terms of specific gravity?""",e = wGs,Void Ratio = Water Content x Specific Gravity,Engineering Geology,Hydrogeology,
,"""In a gradation curve, how does a well graded soil plot?""",The curve has a wide spread across the x-axis.,---,Engineering Geology,,
,"""In a gradation curve, how does a poorly graded soil plot?""",The curve has a narrow spread across the x-axis.,---,Engineering Geology,,
,"""What is the uniformity coefficient range of a well graded sample?""",Above 6.,---,Engineering Geology,,
,"""What is the uniformity coefficient range of a poorly graded sample?""",Less than 4. ,---,Engineering Geology,,
,"""If normal stress is acting inwards towards a body, is it treated as positive or negative?""",Positive.,---,Engineering Geology,,
,"""What stress equation quantifies vertically loaded stress?""",sigma(stress) = Z(depth) x Unit Weight(lambda),---,Engineering Geology,,
,"""What is the vertical axis on a Mohr circle diagram?""",The Shear Stress.,---,Engineering Geology,,
,"""For Atterberg limits, the boundary between the solid and semisolid states is called the [what] limit?""",Shrinkage,---,Engineering Geology,,
,"""The coarse grained and fine grained soil boundary in engineering is placed at what number sieve (0.003 in)?""",: 200,---,Engineering Geology,,
,"""For a coarse grained soil, what percent of soil is retained on the No. 200 sieve?""",: 50%,---,Engineering Geology,,
,Abutment,The sides of a stream channel or a structure that supports the end of a dam or bridge. Sides of the abutment are viewed facing downstream. ,---,Engineering Geology,,
,Berm,"A relatively narrow, horizontal bench built along an embankment.",---,Engineering Geology,,
,Crown,The roof of a mine.,---,Engineering Geology,,
,Cutoff,"An impermeable structure placed beneath the base of a dam to prevent or reduce seepage loss. The structure may be made of concrete, compacted clay, or grout.",---,Engineering Geology,,
,Damn Crest,The flat top of a dam.,---,Engineering Geology,,
,Flowing Ground,"Soil that flows into a tunnel from the floor, roof, or wals of a tunnel driven by water seepage. The flow typically consists of cohesionaless soil below the water table.",---,Engineering Geology,,
,Freeboard,Vertical distance between the dam crest and the water surface of the reservoir.,---,Engineering Geology,,
,Grout,A cement slurry of high water content used to seal fissures.,---,Engineering Geology,,
,Grout Curtain,A grout barrier used in the vicinity of tunnels or dams where cracks or oints in rocks are filled with a liquid cement that is pumped or poured into spaces to seal them. ,---,Engineering Geology,,
,Gunite,"A dry mixture of Portland cement and sand, forced by compressed air through a special hose, with water applied at the nozzel and sprayed onto mine timbers, tunnel supports, and roadways to seal and fireproof them. ",---,Engineering Geology,,
,Invert,"The floor or bottom of a closed conduit, such as a tunnel, aquaduct, or drain.",---,Engineering Geology,,
,Lagging,"Boards which are joined, side-by-side, lining an excavation.",---,Engineering Geology,,
,Phreatic Line / Seepage Line,The uppermost level at which flowing water emerges along a seepage face.,---,Engineering Geology,,
,Piping,Erosion by percolating water or seepage in a layer of subsoil resulting in caving and the formation of tunnels or pipes through which the soluble or granular material is removed.,---,Engineering Geology,,
,Pozzolan,Siliceous or siliceous aluminous materials that whne mixed with Calcium hydroxide has cement-like characteristics.,---,Engineering Geology,,
,Pressure-Relief Well,Wells drilled at the toe of the dam to reduce the uplift pressure and prevent piping. ,---,Engineering Geology,,
,Random Zones,Areas within the dam where excavated materials are placed. A random zone is paced where permeability and sheaer strength are not critical and where weight is important.,---,Engineering Geology,,
,Raveling Ground,Rock or soil that drops out of the roof or walls of a tunnel over time. ,---,Engineering Geology,,
,Riprap,A loose assemblage of broken rocks used for foundations or slope protection.,---,Engineering Geology,,
,Rock Quality Designation (RQD),"A measure of the intactness of rock core, relating the percentage of intact core to the total core run. ",---,Engineering Geology,,
,Running Ground,Soil that runs into the tunnel after removal of roof and wall supports; typically dry cohesionless sand.,---,Engineering Geology,,
,Shotcrete,"A wet mix of Portland cement, sand, and water, often with coarse aggregate up to about 1 inch (2 cm), that is applied through a pneumatic hose onto mine timbers, tunnel supports, and roadways to seal and fireproof them. ",---,Engineering Geology,,
,Slaking,Disintegration of rock or soil when submerged in water. Outcrops of sound rock when subjected to a shrink swell cycle crumble into flakes or particles. ,---,Engineering Geology,,
,Spillway,A channel for reservoir overflow.,---,Engineering Geology,,
,Squeezing Ground,Soil or rock that creeps into a tunnel and maintains a constant volume.,---,Engineering Geology,,
,Swelling Ground,Rock or soil that increases in volume when excavaated. Volume increase is usually caused by the presence of clay minerals with a high swelling capacity. ,---,Engineering Geology,,
,Embankment Dams,"Dams constructed of excavated rocks and / or soils (earth fill). Earth fill is either placed by lifts, or compacted in layers. The key portion of rockfill is an impervious core. The dam cross-section is structure as rockfill - clay core - rockfill.",---,Engineering Geology,,
,"""What are the three primary rules for flow net construction?""",1) The flow lines should be drawn evenly spaced between the boundaries. 2) The flow lines begin and end at equipotential surfaces and intersect them at right angles to form approximate squares. 3) Entrance and exit requirements of the flow lines and equipotential lines must be met. ,---,Engineering Geology,,
,"""What are the three grouting methods used for dam construction?""","1) Grout Blanket, 2) Grout Curtain, 3) Off-Pattern Grouting ",---,Engineering Geology,,
,Afterslip,A seismic fault slip that occurs following a large earthquake.,---,Engineering Geology,,
,Attenuation,"A reduction in the amplitude of seismic waves produced by divergence, scattering, reflection, and absorption.",---,Engineering Geology,,
,Blind Thurst,A thrust fault that does not reach the surface.,---,Engineering Geology,,
,Blind Zone,The area in which there is no possibility for earthquake early warning notifications because it is too close to the epicenter.,---,Engineering Geology,,
,Body-Wave Magnitude,Magnitude of an earthquake as estimated from the apmplitude of body waves.,---,Engineering Geology,,
,Differential Settlement,"The uneven lowering of different parts of an engineered structure, often resulting in damage to the structure.",---,Engineering Geology,,
,Elastic Rebound Theory,A theory proposed by Reid to explain the cause of earthquakes.,---,Engineering Geology,,
,Epicenter,The point on the Earth's surface directly above the focus.,---,Engineering Geology,,
,Factor of Safety,"A measure of the stability of a slope in which the resisting forces are compared to the driving forces. If the resisting force is equal to or less than the driving force, then the slope will fail.",---,Engineering Geology,,
,Fault Creep,Slow ground displacement usually occurring without accompanying earthquakes. It may be of tectonic origin or result from oil or ground-water withdrawal. ,---,Engineering Geology,,
,Focus (Hypocenter),The place where earthquake rupture originates. ,---,Engineering Geology,,
,Ground Lurching,"The movement of an unsupported cliff or stream bank toward the free face during an earthquake. A series of more or less parallel cracks are formed, separating the ground into blocks.",---,Engineering Geology,,
,Ground Shattering,Bedrock or soil on a ridge top that has been thoroughly pulverized due to high accelerations over many cycles of earthquake shattering.,---,Engineering Geology,,
,Hydrocompaction / Hydroconsolidation,The process whereby soils collapse when they are wetted.,---,Engineering Geology,,
,Microseism,"A more or less continuous motion in the Earth unrelated to earthqueks, with a period of 1-9 seconds. ",---,Engineering Geology,,
,Peak Ground Acceleration (PGA),The maximum ground acceleration experienced by rock or soil during the course of earthquake motion. ,---,Engineering Geology,,
,Recurrence Interval,The average time interval between earthquake occurrences of equal magnitude on the same fault.,---,Engineering Geology,,
,Rotational Slide / Slump,Landslide movement due to forces that cause a turning moment about a point above the center of gravity of the unit. The slip surface is concave upwards.,---,Engineering Geology,,
,Sand Boil / Sand Volcano,"A cone-shaped deposit of sand formed during an earthquake when subsurface sand layers liquefy, and then are blown to the surface through cracks. ",---,Engineering Geology,,
,Seiche,A wave oscillation of the surface of water in an enclosed basin (such as a lake or bay) initiated by an earthquake or changes in atmospheric pressure.,---,Engineering Geology,,
,Seismic Gap Theory,A theory that forecasts location and magnitude of future earthquakes based on the absense of earthquakes in one area as compared to the presence of earthquakes adjacent to the gap. ,---,Engineering Geology,,
,Soil Creep,"The gradual, steady downhill movement of soil and loose rock material.",---,Engineering Geology,,
,Subsidence,A localized mass movement that involves the gradual downwards settling or sinking of the Earth's surface.,---,Engineering Geology,,
,Toe,The outermost maergin of displaced landslide material. ,---,Engineering Geology,Soil Classification,
,M,Silt,---,Engineering Geology,Soil Classification,
,G,Gravel,---,Engineering Geology,Soil Classification,
,S,Sand,---,Engineering Geology,Soil Classification,
,H,High Plasticity,---,Engineering Geology,Soil Classification,
,L,Low Plasticity,---,Engineering Geology,Soil Classification,
,C,Clay,---,Engineering Geology,Soil Classification,
,CH,Clay- high plasticity,---,Engineering Geology,Soil Classification,
,SM,Silty Sand,---,Engineering Geology,Soil Classification,
,OL,Organic silts and organic silt-clays of low plasticity,---,Engineering Geology,Soil Classification,
,Pt,Peat & other highly organic soils,---,Engineering Geology,Soil Classification,
,SW,Well-graded sand (or gravelly sands - little or no fines),---,Engineering Geology,Soil Classification,
,SC,Clayey Sands,---,Engineering Geology,Soil Classification,
,SP,Poorly-graded sands,---,Engineering Geology,Soil Classification,
,W,well-graded,---,Engineering Geology,Soil Classification,
,P,Poorly-graded,---,Engineering Geology,,
,CI,Clay - intermediate plasticity,---,Engineering Geology,,
,Topple,Slope movement due to forces that cause an overturning moment about a pivot point below the center of gravity of the unit. ,---,Engineering Geology,,
,Translational Slide,Landslide movement that occurs predominantly along planar or gently undulating surfaces. ,---,Engineering Geology,,
,"""What is the depth of a shallow earthquake?""",0-44 mi,---,Engineering Geology,,
,"""What is the depth of an intermediate earthquake?""",44-190 mi,---,Engineering Geology,,
